bp,key,label,family,latency_ns,energy_nj,area_ge,ned,mred_pct,ed_max
8,exact_log,Exact Logarithmic,exact,5.7044,0.366604,281.6,0.0,0.0,0
8,aaxd,AAXD,approximate,24.764376,1.44893,194.56,2.97,6.61,49
8,inzed,INZeD,approximate,26.669328,1.600452,215.04,4.5,8.2,85
8,axdr1,AXDr1,approximate,31.114216,1.889291,250.88,1.32,4.32,51
8,axdr3,AXDr3,approximate,33.019168,1.969787,266.24,0.97,3.25,85
8,seerad4,SEERAD-4,approximate,36.829072,2.277566,296.96,1.09,2.71,165
8,daxd,DAXD,approximate,34.92412,2.135514,281.6,7.44,16.39,240
8,sc,SC Divider,approximate,1049.6,0.159744,153.6,15.0,25.0,500
8,rapid,RAPID,approximate,5.2,0.0104,163.84,3.5,7.2,120
8,fpca3d,3D-FPCA,approximate,38.2424,2.343448,435.2,2.5,5.8,60
9,exact_array,Exact Array,exact,74.9961,6.020683,648.0,0.0,0.0,0
9,exact_log,Exact Logarithmic,exact,5.7044,0.412429,356.4,0.0,0.0,0
9,aaxd,AAXD,approximate,29.248479,1.842329,246.24,2.97,6.61,49
9,inzed,INZeD,approximate,31.498362,2.034991,272.16,4.5,8.2,85
9,axdr1,AXDr1,approximate,36.748089,2.402253,317.52,1.32,4.32,51
9,axdr3,AXDr3,approximate,38.997972,2.504604,336.96,0.97,3.25,85
9,seerad4,SEERAD-4,approximate,43.497738,2.895949,375.84,1.09,2.71,165
9,daxd,DAXD,approximate,41.247855,2.715328,356.4,7.44,16.39,240
9,sc,SC Divider,approximate,2099.2,0.319488,194.4,15.0,25.0,500
9,rapid,RAPID,approximate,5.40391,0.0126,207.36,3.5,7.2,120
9,fpca3d,3D-FPCA,approximate,45.92583,2.978044,550.8,2.5,5.8,60
10,exact_array,Exact Array,exact,87.285,7.460107,800.0,0.0,0.0,0
10,exact_log,Exact Logarithmic,exact,5.7044,0.458255,440.0,0.0,0.0,0
10,aaxd,AAXD,approximate,34.04115,2.282793,304.0,2.97,6.61,49
10,inzed,INZeD,approximate,36.6597,2.521516,336.0,4.5,8.2,85
10,axdr1,AXDr1,approximate,42.76965,2.976583,392.0,1.32,4.32,51
10,axdr3,AXDr3,approximate,45.3882,3.103405,416.0,0.97,3.25,85
10,seerad4,SEERAD-4,approximate,50.6253,3.588312,464.0,1.09,2.71,165
10,daxd,DAXD,approximate,48.00675,3.364508,440.0,7.44,16.39,240
10,sc,SC Divider,approximate,4198.4,0.638976,240.0,15.0,25.0,500
10,rapid,RAPID,approximate,5.586314,0.015,256.0,3.5,7.2,120
10,fpca3d,3D-FPCA,approximate,54.2544,3.688408,680.0,2.5,5.8,60
11,exact_array,Exact Array,exact,100.3651,9.053304,968.0,0.0,0.0,0
11,exact_log,Exact Logarithmic,exact,5.7044,0.50408,532.4,0.0,0.0,0
11,aaxd,AAXD,approximate,39.142389,2.770311,367.84,2.97,6.61,49
11,inzed,INZeD,approximate,42.153342,3.060017,406.56,4.5,8.2,85
11,axdr1,AXDr1,approximate,49.178899,3.612268,474.32,1.32,4.32,51
11,axdr3,AXDr3,approximate,52.189852,3.766174,503.36,0.97,3.25,85
11,seerad4,SEERAD-4,approximate,58.211758,4.354639,561.44,1.09,2.71,165
11,daxd,DAXD,approximate,55.200805,4.08304,532.4,7.44,16.39,240
11,sc,SC Divider,approximate,8396.8,1.277952,290.4,15.0,25.0,500
11,rapid,RAPID,approximate,5.751318,0.0176,309.76,3.5,7.2,120
11,fpca3d,3D-FPCA,approximate,63.22811,4.474527,822.8,2.5,5.8,60
12,exact_array,Exact Array,exact,114.2364,10.800246,1152.0,0.0,0.0,0
12,exact_log,Exact Logarithmic,exact,5.7044,0.549906,633.6,0.0,0.0,0
12,aaxd,AAXD,approximate,44.552196,3.304875,437.76,2.97,6.61,49
12,inzed,INZeD,approximate,47.979288,3.650483,483.84,4.5,8.2,85
12,axdr1,AXDr1,approximate,55.975836,4.309298,564.48,1.32,4.32,51
12,axdr3,AXDr3,approximate,59.402928,4.492902,599.04,0.97,3.25,85
12,seerad4,SEERAD-4,approximate,66.257112,5.194918,668.16,1.09,2.71,165
12,daxd,DAXD,approximate,62.83002,4.870911,633.6,7.44,16.39,240
12,sc,SC Divider,approximate,16793.6,2.555904,345.6,15.0,25.0,500
12,rapid,RAPID,approximate,5.901955,0.0204,368.64,3.5,7.2,120
12,fpca3d,3D-FPCA,approximate,72.84696,5.33639,979.2,2.5,5.8,60
13,exact_array,Exact Array,exact,128.8989,12.700912,1352.0,0.0,0.0,0
13,exact_log,Exact Logarithmic,exact,5.7044,0.595731,743.6,0.0,0.0,0
13,aaxd,AAXD,approximate,50.270571,3.886479,513.76,2.97,6.61,49
13,inzed,INZeD,approximate,54.137538,4.292908,567.84,4.5,8.2,85
13,axdr1,AXDr1,approximate,63.160461,5.067664,662.48,1.32,4.32,51
13,axdr3,AXDr3,approximate,67.027428,5.28358,703.04,0.97,3.25,85
13,seerad4,SEERAD-4,approximate,74.761362,6.109139,784.16,1.09,2.71,165
13,daxd,DAXD,approximate,70.894395,5.728112,743.6,7.44,16.39,240
13,sc,SC Divider,approximate,33587.2,5.111808,405.6,15.0,25.0,500
13,rapid,RAPID,approximate,6.040528,0.0234,432.64,3.5,7.2,120
13,fpca3d,3D-FPCA,approximate,83.11095,6.273988,1149.2,2.5,5.8,60
14,exact_array,Exact Array,exact,144.3526,14.755284,1568.0,0.0,0.0,0
14,exact_log,Exact Logarithmic,exact,5.7044,0.641557,862.4,0.0,0.0,0
14,aaxd,AAXD,approximate,56.297514,4.515117,595.84,2.97,6.61,49
14,inzed,INZeD,approximate,60.628092,4.987286,658.56,4.5,8.2,85
14,axdr1,AXDr1,approximate,70.732774,5.887358,768.32,1.32,4.32,51
14,axdr3,AXDr3,approximate,75.063352,6.138198,815.36,0.97,3.25,85
14,seerad4,SEERAD-4,approximate,83.724508,7.097292,909.44,1.09,2.71,165
14,daxd,DAXD,approximate,79.39393,6.654633,862.4,7.44,16.39,240
14,sc,SC Divider,approximate,67174.4,10.223616,470.4,15.0,25.0,500
14,rapid,RAPID,approximate,6.168826,0.0266,501.76,3.5,7.2,120
14,fpca3d,3D-FPCA,approximate,94.02008,7.287311,1332.8,2.5,5.8,60
15,exact_array,Exact Array,exact,157.8191,16.963345,1800.0,0.0,0.0,0
15,exact_log,Exact Logarithmic,exact,5.7044,0.687382,990.0,0.0,0.0,0
