bit_precision,adder,label,family,latency_ns,energy_nj,area_ge
10,gear,GeAr,approximate,1.4674,0.043217,7.14
10,csa,CSA,approximate,1.6089,0.042906,6.936
11,full,Full (RCA),exact,2.827,0.077678,11.0
11,sklansky,Sklansky,exact,3.812,0.154178,21.833
11,kogge,Kogge-Stone,exact,3.483,0.232066,32.863
11,carrysel,Carry-Select,exact,3.046,0.212186,30.048
11,rbr,RBR,exact,2.194,0.336054,47.589
11,loa,LOA,approximate,1.282,0.041741,5.978
11,ccba,CCBA,approximate,1.4401,0.033615,5.333
11,trua,TruA,approximate,1.1512,0.036615,5.096
11,gear,GeAr,approximate,1.603,0.047539,7.854
11,csa,CSA,approximate,1.7575,0.047197,7.63
12,full,Full (RCA),exact,3.066,0.08474,12.0
12,sklansky,Sklansky,exact,3.812,0.169982,24.071
12,kogge,Kogge-Stone,exact,3.483,0.261673,37.056
12,carrysel,Carry-Select,exact,3.046,0.231475,32.779
12,rbr,RBR,exact,2.194,0.366604,51.915
12,loa,LOA,approximate,1.4084,0.045766,6.588
12,ccba,CCBA,approximate,1.5619,0.036862,5.872
12,trua,TruA,approximate,1.2647,0.040145,5.616
12,gear,GeAr,approximate,1.7385,0.051861,8.568
12,csa,CSA,approximate,1.9061,0.051488,8.323
13,full,Full (RCA),exact,3.305,0.091801,13.0
13,sklansky,Sklansky,exact,3.812,0.18588,26.323
13,kogge,Kogge-Stone,exact,3.483,0.292914,41.48
13,carrysel,Carry-Select,exact,3.046,0.250765,35.511
13,rbr,RBR,exact,2.194,0.397154,56.241
13,loa,LOA,approximate,1.5354,0.049791,7.198
13,ccba,CCBA,approximate,1.6836,0.04014,6.421
13,trua,TruA,approximate,1.3788,0.043676,6.136
13,gear,GeAr,approximate,1.874,0.056182,9.282
13,csa,CSA,approximate,2.0547,0.055778,9.017
14,full,Full (RCA),exact,3.544,0.098863,14.0
14,sklansky,Sklansky,exact,3.812,0.201859,28.585
14,kogge,Kogge-Stone,exact,3.483,0.325927,46.155
14,carrysel,Carry-Select,exact,3.046,0.270054,38.242
14,rbr,RBR,exact,2.194,0.427705,60.567
14,loa,LOA,approximate,1.6465,0.053182,7.625
14,ccba,CCBA,approximate,1.8054,0.04345,6.978
14,trua,TruA,approximate,1.4785,0.046651,6.5
14,gear,GeAr,approximate,2.0095,0.060504,9.996
14,csa,CSA,approximate,2.2032,0.060069,9.71
15,full,Full (RCA),exact,3.783,0.105924,15.0
15,sklansky,Sklansky,exact,3.812,0.217907,30.858
15,kogge,Kogge-Stone,exact,3.483,0.360852,51.1
15,carrysel,Carry-Select,exact,3.046,0.289344,40.974
15,rbr,RBR,exact,2.194,0.458255,64.894
15,loa,LOA,approximate,1.7751,0.057207,8.235
15,ccba,CCBA,approximate,1.9271,0.046792,7.545
15,trua,TruA,approximate,1.594,0.050182,7.02
15,gear,GeAr,approximate,2.145,0.064826,10.71
15,csa,CSA,approximate,2.3518,0.06436,10.404
16,full,Full (RCA),exact,4.022,0.112986,16.0
16,sklansky,Sklansky,exact,3.812,0.234016,33.139
16,kogge,Kogge-Stone,exact,3.483,0.397827,56.336
16,carrysel,Carry-Select,exact,3.046,0.308634,43.706
