bit_precision,multiplier,label,family,latency_ns,energy_nj,area_ge
8,ilm_aa,ILM-AA,approximate,35.3228,0.29817,58.128
8,cgpm1,CGPM1,approximate,14.3562,0.304328,29.389
8,tam1,TAM1,approximate,9.972,0.223136,23.936
8,hocm,HOCM (1StepTrunc),approximate,11.5954,0.268525,27.84
8,cgpm3,CGPM3,approximate,16.0126,0.358755,37.645
8,bam,BAM,approximate,8.9174,0.146983,14.378
9,full,Full (RC Array),exact,41.405,0.735995,81.0
9,sklansky,Sklansky,exact,35.698,2.617688,288.09
9,carrysel,Carry-Select,exact,32.607,2.617688,288.09
9,rbr,RBR,exact,51.048,1.82265,200.592
9,mitchell,Mitchell,approximate,13.932,0.254219,36.0
9,alm_soa,ALM-SOA,approximate,15.3448,0.278417,44.408
9,ilm_aa,ILM-AA,approximate,43.8696,0.336824,65.819
9,cgpm1,CGPM1,approximate,15.0905,0.390721,37.535
9,tam1,TAM1,approximate,12.0863,0.290407,30.888
9,hocm,HOCM (1StepTrunc),approximate,14.0099,0.3451,35.82
9,cgpm3,CGPM3,approximate,17.21,0.459652,47.954
9,bam,BAM,approximate,10.3255,0.182013,17.742
10,full,Full (RC Array),exact,51.401,0.913679,100.0
10,sklansky,Sklansky,exact,40.833,3.243525,354.996
10,carrysel,Carry-Select,exact,37.95,3.243525,354.996
10,rbr,RBR,exact,56.8,2.18223,238.84
10,mitchell,Mitchell,approximate,13.932,0.282465,40.0
10,alm_soa,ALM-SOA,approximate,15.3922,0.310394,49.545
10,ilm_aa,ILM-AA,approximate,44.1277,0.375785,73.605
10,cgpm1,CGPM1,approximate,17.5633,0.48859,46.76
10,tam1,TAM1,approximate,14.3602,0.366495,38.72
10,hocm,HOCM (1StepTrunc),approximate,16.3055,0.424861,43.5
10,cgpm3,CGPM3,approximate,20.03,0.573619,59.585
10,bam,BAM,approximate,11.8252,0.220476,21.464
11,full,Full (RC Array),exact,62.475,1.110525,121.0
11,sklansky,Sklansky,exact,46.117,3.936219,428.88
11,carrysel,Carry-Select,exact,43.637,3.936219,428.88
11,rbr,RBR,exact,62.568,2.573222,280.372
11,mitchell,Mitchell,approximate,13.932,0.310712,44.0
11,alm_soa,ALM-SOA,approximate,15.4351,0.342579,54.722
11,ilm_aa,ILM-AA,approximate,44.3611,0.415053,81.485
